X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
6,0.07,0.3,0.4,0.1,1.5108535487396975e+149,14.145106522110193,0.04
6,0.07,0.3,0.4,0.15,1.4414084828487024e+149,13.494939035471601,0.04
6,0.07,0.3,0.6,0.0,1.576201801655689e+149,14.756918301816816,0.01
6,0.07,0.3,0.6,0.05,1.3970017293931112e+149,13.079188443063494,0.08
6,0.07,0.3,0.6,0.1,1.53045655982805e+149,14.328636342210995,0.02
6,0.07,0.3,0.6,0.15,1.5499077173548959e+149,14.510744459457099,0.01
6,0.07,0.5,0.05,0.0,1.5762991661743948e+149,14.757829860379003,0.04
6,0.07,0.5,0.05,0.05,1.5376684954625772e+149,14.39615684932175,0.03
6,0.07,0.5,0.05,0.1,1.4293369354999386e+149,13.381921249414576,0.04
6,0.07,0.5,0.05,0.15,1.5294677221511097e+149,14.319378519515297,0.02
6,0.07,0.5,0.2,0.0,1.6237384318436413e+149,15.201971826873327,0.03
6,0.07,0.5,0.2,0.05,1.4033136174539324e+149,13.138282409550468,0.0
6,0.07,0.5,0.2,0.1,1.6049014493944774e+149,15.025613818169699,0.03
6,0.07,0.5,0.2,0.15,1.6777548211415514e+149,15.707690982244852,0.03
6,0.07,0.5,0.4,0.0,1.5868327090837244e+149,14.856448344369047,0.02
6,0.07,0.5,0.4,0.05,1.6270476978911807e+149,15.232954261134738,0.07
6,0.07,0.5,0.4,0.1,1.3333267437814347e+149,12.483042340734567,0.04
6,0.07,0.5,0.4,0.15,1.5058278960668173e+149,14.0980547132434,0.02
6,0.07,0.5,0.6,0.0,1.7370129429073539e+149,16.262484956403803,0.02
6,0.07,0.5,0.6,0.05,1.4660995362833408e+149,13.726104777027038,0.03
6,0.07,0.5,0.6,0.1,1.5152386522923052e+149,14.186161299996416,0.02
6,0.07,0.5,0.6,0.15,1.5220555152339101e+149,14.249983006962033,0.03
6,0.07,0.7,0.05,0.0,1.4499417349269588e+149,13.574830140554315,0.01
6,0.07,0.7,0.05,0.05,1.5313111300417055e+149,14.336637108872239,0.03
6,0.07,0.7,0.05,0.1,1.598676656162582e+149,14.96733526204047,0.04
6,0.07,0.7,0.05,0.15,1.4551876547697535e+149,13.623944162919145,0.06
6,0.07,0.7,0.2,0.0,1.549450279616802e+149,14.506461777301725,0.05
6,0.07,0.7,0.2,0.05,1.5811070496657997e+149,14.802842842734936,0.07
6,0.07,0.7,0.2,0.1,1.6851068989614933e+149,15.776523546465702,0.01
6,0.07,0.7,0.2,0.15,1.3938133826880284e+149,13.049338095350814,0.04
6,0.07,0.7,0.4,0.0,1.3973900851633058e+149,13.082824357174733,0.07
6,0.07,0.7,0.4,0.05,1.563597924334208e+149,14.638916667937291,0.03
6,0.07,0.7,0.4,0.1,1.522591137719286e+149,14.254997680368067,0.07
6,0.07,0.7,0.4,0.15,1.5092650827652275e+149,14.130234782599526,0.02
6,0.07,0.7,0.6,0.0,1.5250432397186268e+149,14.277955063638398,0.01
6,0.07,0.7,0.6,0.05,1.5606586085236515e+149,14.611397829147705,0.05
6,0.07,0.7,0.6,0.1,1.542299405145387e+149,14.439512944829655,0.03
6,0.07,0.7,0.6,0.15,1.3516275654721472e+149,12.65438063654306,0.06
